c1,state,county,hbp,chd,dm,ob,hc,ckd,hpsa,aqi,cold_wave,heat_wave,ice_storm,winter_weather,enviro_hazard,lead_paint,low_income,access_healthy_food,percent_area_parks,respiratory_hazard,road_noise,traffic_proximity_volume,vehicles_available,walkability,walkability_to_transit,minority_proportion,fam_bel_pov,vacancy,property,gini_index,diffusion_score,party,metro,farming,mining,manufacturing,government,recreation,nonspecialized,low_education,low_employment,pop_loss,retirement_dest,persistent_poverty,persistent_related_child_poverty,pct_dem_lead_2000,pct_dem_lead_2004,pct_dem_lead_2008,pct_dem_lead_2012,pct_dem_lead_2016,pct_dem_lead_2020,change_2000_to_2004,change_2004_to_2008,change_2008_to_2012,change_2012_to_2016,change_2016_to_2020,total_magnitude_of_change,cumulative_change,volatility,change_2000_to_2020,d_2004_2000,d_2008_2004,d_2012_2008,d_2016_2012,d_2020_2016,d_2020_2000,d_average,dem_land,min_prop
2299,ia,jasper,0.68556701,0.650943396,0.669230769,0.719056974,0.874172185,0.703125,0.002398082,0.38032383,0,0.0781,0.0481,0.0764,0.1067,0.17481806,0.453875169,0.939983031,0.098501071,0.293679064,0,0.124839594,0.000670629,0.277221527,0.052631579,0.383676662,0.001704842,0.004567373,0.005266845,0.596468411,0.090205011,0.401033425,1,0,0,0,1,0,0,1,1,0,0,0,1,0.073234298,-0.058386017,-0.06045542,-0.085948589,-0.200575978,-0.054958184,-1.797249636,0.03544347,0.421685406,1.333673906,-0.725998176,4.314050593,-0.73244503,1.059022697,148.4791718,0.04993251,0.026719969,-0.004255558,-0.252021968,-0.070129648,-0.249754697,24.70490265,1,3
3274,in,dearborn,0.394329897,0.396226415,0.419230769,0.740667976,0.796909492,0.5,0.020383693,0.211545231,0.2692,0.1045,0.1535,0.2007,0.1018,0.192202895,0.37503507,0.877275521,0.011134904,0.042994518,0,0.131964533,0.002697797,0.357947434,0.052631579,0.063643287,0.005578277,0.010171959,0.014880063,0.152634579,0.044213075,0.407021187,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.009187411,-0.068920357,0.085926129,0.036669735,-0.195948521,-0.198908831,6.501608304,-2.246745276,-0.573241165,-6.343603432,0.015107592,15.68030577,-2.646873977,4.159031731,0.802628934,-0.056346882,0.01469181,-0.047165461,-0.154966176,-0.003232003,-0.247018725,0.092601702,1,1
1965,tn,rhea,0.304123711,0.311320755,0.346153846,0.638506876,0.770419426,0.453125,0.013189448,0.198345653,0.258,0.0912,0.139,0.1249,0.0642,0.175776642,0.336819007,0.848050835,0.022805139,0.048324196,0,0.164444541,0.004896443,0.419899875,0.052631579,0.126707412,0.007866121,0.013874989,0.033407252,0.272503911,0.133493737,0.417529307,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.040034947,-0.080738771,0.088637033,-0.060891472,-0.180335179,-0.180010684,1.016707319,-2.097824897,-1.686975522,1.961583523,-0.001799402,6.764890663,-0.808308978,1.549037763,1.856120348,-0.105558999,-0.133921981,-0.026211441,-0.118730158,-0.029272676,-0.413695246,0.240404174,1,2
388,tx,stonewall,0.309278351,0.349056604,0.538461538,0.750491159,0.732891832,0.515625,0.010791367,0.225536783,0.326,0,0.1068,0.258,0.1548,0.52685461,0.486689515,0.778522322,0.013490364,0.126798044,0,0.339936272,0.001151106,0.423028786,0.052631579,0.673516258,0.004478522,0.015685561,0.007818893,0.635701248,0.085609542,0.233452697,0,1,0,0,0,0,0,1,1,1,0,1,1,-0.51701427,-0.58568052,-0.448858493,-0.479670206,-0.481485663,-0.510953474,0.132813065,-0.233612049,0.068644601,0.003784803,0.061201846,0.500056364,0.032832265,0.12686243,1.681749105,-0.078300998,-0.101536043,-0.08142101,-0.085070007,-0.078845054,-0.425173104,0.209429324,1,3
381,tx,coke,0.378865979,0.452830189,0.653846154,0.650294695,0.697571744,0.71875,0.007194245,0.161034847,0.1852,0,0.0451,0.2952,0.1439,0.50326522,0.61781019,0.75239363,0.11391863,0.009862202,0,0.443894048,0.001320885,0.414267835,0.052631579,0.837325565,0.005710778,0.013183514,0.012873101,0.454011197,0.086239713,0.733026884,0,0,0,0,1,0,0,0,1,0,0,1,1,0.472110032,0.443215583,0.605980991,0.568859154,0.462468608,0.387390513,-0.061202785,0.367237557,-0.061259078,-0.187024407,-0.162342035,0.839065864,-0.104590749,0.200752136,0.533319235,-0.149666891,0.058445264,-0.130532891,-0.052657139,-0.000872599,-0.275284261,0.043005832,1,3
2271,mo,livingston,0.420103093,0.358490566,0.453846154,0.646365422,0.717439294,0.484375,0.004796163,0.476328757,0.0806,0,0,0,0.0524,0.140318637,0.459975191,0.952046475,0.00117773,0.354699956,0,0.123405906,0.000371817,0.355444305,0.052631579,0.213507904,0.002831097,0.008579747,0.005111047,0.416190628,0.13109155,0.127101317,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.394652931,-0.558312406,-0.573740845,-0.586206897,-0.64761754,-0.702325912,0.414692156,0.02763406,0.02172767,0.104759333,0.08447636,0.653289579,0.653289579,0.145573786,1.789647698,-0.071332932,0.038131852,-0.109088108,-0.215962589,-0.007890306,-0.366142064,0.237250939,1,2
3178,tn,perry,0.18814433,0.188679245,0.353846154,0.587426326,0.626931567,0.390625,0.043165468,0.291622668,0.3844,0.1691,0.1423,0.2428,0.1201,0.197874904,0.579327894,0.831128043,0.025910064,0.221703956,0.5,0.322316956,0.00982854,0.678973717,0.631578947,0.251016879,0.01449557,0.013283596,0.030562829,0.569154452,0.351128663,0.521015532,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.17034237,-0.19249427,0.116298439,-0.035960349,-0.055762617,0.00610234,0.1300434,-1.60416572,-1.309207491,0.550669528,-1.10943425,4.703520389,-3.342094533,0.84905186,-4.723465919,-0.15048334,-0.107742056,-0.134578794,-0.326333642,-0.080192581,-0.799330413,-0.920466065,1,2
,in,starke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.11880112,-0.071637318,0.128337845,-0.138343498,-0.314210922,-0.047693372,-0.443547279,2.945875645,1,
1107,mn,morrison,0.365979381,0.481132075,0.492307692,0.685658153,0.72406181,0.59375,0.013189448,0.490848293,0,0.1064,0,0.0637,0.2484,0.268085093,0.482906529,0.846684418,0.056423983,0.452501111,0,0.196904612,0.003045846,0.526282854,0.421052632,0.328893085,0.009257378,0.010681467,0.017764151,0.632044495,0.130675814,0.319569192,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.324302292,-0.344712668,-0.241365199,-0.274230752,-0.363267526,-0.356061397,0.062936268,-0.299807576,0.136165254,0.324678295,-0.019836974,0.843424366,0.204135267,0.204871565,1.68390131,0.025864772,-0.017117564,-0.049271379,-0.287628502,-0.007204908,-0.335357577,0.224757284,1,3
1880,il,pope,0.386597938,0.424528302,0.45,0.734774067,0.739514349,0.5,0.007194245,0.208377332,0.2804,0.0384,0.0892,0.2286,0.1335,0.305579489,0.323007664,0.826621067,0.000963597,0.062936731,0,0.161183853,0.000422751,0.331038798,0.052631579,0.202583307,0.001908009,0.005431717,0.009122109,0.440175115,0.133682238,0.411552044,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00132291,0.003444062,0.121920904,0.074304092,-0.202810786,-0.222148541,1.603397602,34.4003244,-0.390554943,-3.729469938,0.09534875,40.21909564,31.97904588,14.11022252,2.295608044,-0.059087928,0.015697967,-0.164720505,-0.220371202,0.015666313,-0.412815362,0.313798785,1,2
